Address A,Address B,Packets,Bytes,Packets A → B,Bytes A → B,Packets B → A,Bytes B → A,Rel Start,Duration,Bits/s A → B,Bits/s B → A
43.249.73.33,167.235.145.223,36,26304,24,14700,12,11604,5.549878,77.228594,1522,1202
43.249.74.22,167.235.145.223,720,1286630,305,21681,415,1264949,5.671122,19.213224,9027,526699
43.249.74.23,167.235.145.223,291,1709146,173,14543,118,1694603,10.59688,60.232475,1931,225074
43.249.74.24,167.235.145.223,713,1325491,294,20955,419,1304536,76.695941,2.25927,74200,4619318
43.249.74.28,167.235.145.223,824,1556363,361,25446,463,1530917,28.579439,2.179656,93394,5618930
43.249.74.31,167.235.145.223,712,1316389,290,20760,422,1295629,40.666806,2.254448,73667,4597591
43.249.74.45,167.235.145.223,723,1216256,321,23151,402,1193105,16.575199,66.335709,2791,143886
43.249.74.50,167.235.145.223,728,1368800,296,21087,432,1347713,4.565026,60.913257,2769,177000
43.249.74.52,167.235.145.223,612,1031880,256,18516,356,1013364,34.591077,2.249289,65855,3604210
43.249.74.61,167.235.145.223,42,30688,28,17150,14,13538,4.300551,78.313914,1751,1382
43.249.74.64,167.235.145.223,731,1266300,320,22740,411,1243560,52.671263,2.274478,79983,4373961
43.249.74.66,167.235.145.223,757,1412964,323,22869,434,1390095,46.634891,2.252138,81234,4937867
43.249.74.67,167.235.145.223,754,1355326,335,23661,419,1331665,37.419931,29.430115,6431,361987
43.249.74.69,167.235.145.223,697,1239866,293,20889,404,1218977,58.649892,2.244766,74445,4344246
43.249.74.72,167.235.145.223,721,1347201,302,21552,419,1325649,70.726995,2.156318,79958,4918194
45.143.200.46,167.235.145.223,3,162,2,108,1,54,82.511714,0.035568,24291,12145
46.103.88.74,167.235.145.223,595,381180,319,113250,276,267930,3.935815,76.638051,11821,27968
60.249.243.247,167.235.145.223,26,4644,12,2050,14,2594,52.477526,5.07516,3231,4088
77.90.185.76,167.235.145.223,3,162,2,108,1,54,63.836777,0.014012,61661,30830
78.128.113.150,167.235.145.223,6,324,4,216,2,108,9.21547,71.317958,24,12
94.102.61.30,167.235.145.223,2,198,1,85,1,113,55.413189,2.40E-05,,
104.156.92.21,167.235.145.223,52,1331303,27,2875,25,1328428,14.198532,60.024073,383,177052
104.156.92.23,167.235.145.223,184,1290593,88,7375,96,1283218,75.293824,0.20714,284831,49559447
104.156.92.24,167.235.145.223,131,1169268,63,5693,68,1163575,38.195096,0.138502,328832,67209137
104.156.92.30,167.235.145.223,2,120,1,66,1,54,71.788088,9.00E-06,,
104.156.92.32,167.235.145.223,141,1269732,68,6092,73,1263640,20.188911,60.064246,811,168305
104.156.92.35,167.235.145.223,148,1094845,68,6023,80,1088822,62.196646,0.181346,265702,48032909
104.156.92.41,167.235.145.223,2,120,1,66,1,54,36.713703,1.60E-05,,
104.156.92.43,167.235.145.223,138,1257339,65,5857,73,1251482,82.90785,0.146999,318750,68108327
104.156.92.46,167.235.145.223,142,1372415,69,6158,73,1366257,50.189456,0.139816,352348,78174572
104.156.92.50,167.235.145.223,40,23686,24,10898,16,12788,55.63638,27.188399,3206,3762
104.156.92.51,167.235.145.223,199,1207108,98,8072,101,1199036,2.192617,60.097838,1074,159611
104.156.92.56,167.235.145.223,187,1248566,87,7346,100,1241220,8.194031,60.096064,977,165231
104.156.92.61,167.235.145.223,142,1305894,71,6221,71,1299673,33.866427,34.462189,1444,301704
104.156.92.65,167.235.145.223,2,120,1,66,1,54,16.210984,2.40E-05,,
104.156.92.68,167.235.145.223,170,1461783,89,7409,81,1454374,74.191504,0.140438,422051,82847890
104.156.92.73,167.235.145.223,146,1236767,74,6488,72,1230279,80.190034,0.143187,362491,68736910
104.156.92.74,167.235.145.223,2,120,1,66,1,54,39.936206,2.00E-05,,
104.156.92.78,167.235.145.223,144,1309135,71,6322,73,1302813,67.641105,0.143287,352969,72738657
104.156.92.79,167.235.145.223,60,43440,40,24180,20,19260,3.427712,77.846271,2484,1979
104.156.92.80,167.235.145.223,182,1453551,83,7013,99,1446538,32.200759,0.209581,267696,55216379
104.156.92.82,167.235.145.223,144,1242651,72,6356,72,1236295,26.194147,0.13574,374598,72862531
104.156.92.83,167.235.145.223,2,120,1,66,1,54,63.734686,1.50E-05,,
104.156.93.20,167.235.145.223,2,120,1,66,1,54,61.294837,2.60E-05,,
104.156.93.22,167.235.145.223,2,120,1,66,1,54,64.599205,1.10E-05,,
104.156.93.33,167.235.145.223,2,120,1,66,1,54,49.229743,1.00E-05,,
104.156.93.36,167.235.145.223,2,120,1,66,1,54,0.941763,1.70E-05,,
104.156.93.45,167.235.145.223,2,120,1,66,1,54,33.695501,1.30E-05,,
104.156.93.56,167.235.145.223,2,120,1,66,1,54,13.387982,1.00E-05,,
104.156.93.67,167.235.145.223,42,30640,28,17150,14,13490,1.004179,77.648214,1766,1389
104.156.93.79,167.235.145.223,2,120,1,66,1,54,30.708776,1.20E-05,,
104.156.93.93,167.235.145.223,2,120,1,66,1,54,82.850082,7.00E-06,,
104.156.93.99,167.235.145.223,2,120,1,66,1,54,4.914503,1.70E-05,,
104.156.93.100,167.235.145.223,2,120,1,66,1,54,71.674365,7.00E-06,,
104.156.93.106,167.235.145.223,2,120,1,66,1,54,75.842084,1.50E-05,,
104.156.93.107,167.235.145.223,2,120,1,66,1,54,17.646674,1.40E-05,,
104.156.93.110,167.235.145.223,2,120,1,66,1,54,51.774515,1.80E-05,,
