Address A,Port A,Address B,Port B,Packets,Bytes,Stream ID,Packets A → B,Bytes A → B,Packets B → A,Bytes B → A,Rel Start,Duration,Bits/s A → B,Bits/s B → A
43.249.73.33,31070,167.235.145.223,443,36,26304,1130,24,14700,12,11604,5.549878,77.228594,1522,1202
43.249.74.22,48768,167.235.145.223,443,2,120,1137,1,66,1,54,5.671122,1.50E-05,,
43.249.74.22,54696,167.235.145.223,443,718,1286510,2126,304,21615,414,1264895,22.637288,2.247058,76953,4503292
43.249.74.23,6622,167.235.145.223,443,291,1709146,1419,173,14543,118,1694603,10.59688,60.232475,1931,225074
43.249.74.24,4566,167.235.145.223,443,713,1325491,3533,294,20955,419,1304536,76.695941,2.25927,74200,4619318
43.249.74.28,31880,167.235.145.223,443,821,1556108,2489,359,25245,462,1530863,28.579439,2.179656,92656,5618732
43.249.74.28,57546,167.235.145.223,443,3,255,2490,2,201,1,54,28.584219,1.20E-05,,
43.249.74.31,45144,167.235.145.223,443,709,1316134,2788,288,20559,421,1295575,40.666806,2.254448,72954,4597400
43.249.74.31,53914,167.235.145.223,443,3,255,2789,2,201,1,54,40.66894,1.00E-05,,
43.249.74.45,31904,167.235.145.223,443,7,5171,3647,3,474,4,4697,82.678889,0.232019,16343,161952
43.249.74.45,43002,167.235.145.223,443,713,1210830,1779,316,22476,397,1188354,16.581455,66.098141,2720,143829
43.249.74.45,61222,167.235.145.223,443,3,255,1778,2,201,1,54,16.575199,4.50E-05,,
43.249.74.50,50568,167.235.145.223,443,728,1368800,1022,296,21087,432,1347713,4.565026,60.913257,2769,177000
43.249.74.52,16370,167.235.145.223,443,3,255,2675,2,201,1,54,34.591078,6.50E-05,,
43.249.74.52,48424,167.235.145.223,443,609,1031625,2674,254,18315,355,1013310,34.591077,2.249289,65140,3604018
43.249.74.61,11948,167.235.145.223,443,42,30688,1010,28,17150,14,13538,4.300551,78.313914,1751,1382
43.249.74.64,2598,167.235.145.223,443,728,1266045,3040,318,22539,410,1243506,52.673961,2.27178,79370,4378966
43.249.74.64,32360,167.235.145.223,443,3,255,3039,2,201,1,54,52.671263,0.000245,,
43.249.74.66,14634,167.235.145.223,443,757,1412964,2915,323,22869,434,1390095,46.634891,2.252138,81234,4937867
43.249.74.67,47612,167.235.145.223,443,2,120,2735,1,66,1,54,37.419931,1.10E-05,,
43.249.74.67,61476,167.235.145.223,443,752,1355206,3272,334,23595,418,1331611,64.647176,2.20287,85688,4835913
43.249.74.69,37600,167.235.145.223,443,697,1239866,3166,293,20889,404,1218977,58.649892,2.244766,74445,4344246
43.249.74.72,9400,167.235.145.223,443,718,1346946,3402,300,21351,418,1325595,70.726995,2.156318,79212,4917994
43.249.74.72,36462,167.235.145.223,443,3,255,3403,2,201,1,54,70.728931,2.60E-05,,
45.143.200.46,55422,167.235.145.223,37312,3,162,3641,2,108,1,54,82.511714,0.035568,24291,12145
46.103.88.74,62725,167.235.145.223,443,243,168344,990,128,53726,115,114618,3.935815,76.638051,5608,11964
46.103.88.74,62728,167.235.145.223,443,14,5755,991,8,994,6,4761,3.943833,0.176292,45106,216050
46.103.88.74,62729,167.235.145.223,443,14,5753,992,8,992,6,4761,3.9462,0.183042,43356,208083
46.103.88.74,62730,167.235.145.223,443,22,10350,998,11,3585,11,6765,4.072908,34.757368,825,1557
46.103.88.74,62731,167.235.145.223,443,221,156180,999,119,47874,102,108306,4.07511,67.915192,5639,12757
46.103.88.74,62733,167.235.145.223,443,14,5729,2762,8,968,6,4761,38.561179,0.147735,52418,257812
46.103.88.74,62734,167.235.145.223,443,14,5729,2764,8,968,6,4761,38.562138,0.151506,51113,251395
46.103.88.74,62735,167.235.145.223,443,14,5729,2763,8,968,6,4761,38.561803,0.147789,52399,257718
46.103.88.74,62736,167.235.145.223,443,13,5845,2766,7,1033,6,4812,38.661671,0.198986,41530,193460
46.103.88.74,62737,167.235.145.223,443,13,5883,2767,7,1071,6,4812,38.664505,0.199138,43025,193313
46.103.88.74,62738,167.235.145.223,443,13,5883,2768,7,1071,6,4812,38.66902,0.212508,40318,181150
60.249.243.247,56010,167.235.145.223,22,26,4644,3035,12,2050,14,2594,52.477526,5.07516,3231,4088
77.90.185.76,46242,167.235.145.223,24458,3,162,3264,2,108,1,54,63.836777,0.014012,61661,30830
78.128.113.150,52629,167.235.145.223,3240,3,162,1369,2,108,1,54,9.21547,0.037047,23321,11660
78.128.113.150,52629,167.235.145.223,3032,3,162,3604,2,108,1,54,80.499511,0.033917,25473,12736
85.73.250.195,54342,167.235.145.223,443,12,5035,1115,6,1842,6,3193,5.387973,60.709497,242,420
85.73.250.195,54350,167.235.145.223,22,116,25864,1818,66,6964,50,18900,17.194012,61.288842,909,2467
85.73.250.195,54353,167.235.145.223,443,49,35634,1153,26,11660,23,23974,6.073431,39.501375,2361,4855
85.73.250.195,54354,167.235.145.223,443,7,422,1711,3,163,4,259,14.973596,30.497928,42,67
104.156.92.21,39410,167.235.145.223,443,52,1331303,1676,27,2875,25,1328428,14.198532,60.024073,383,177052
104.156.92.23,60632,167.235.145.223,443,184,1290593,3509,88,7375,96,1283218,75.293824,0.20714,284831,49559447
104.156.92.24,11076,167.235.145.223,443,131,1169268,2757,63,5693,68,1163575,38.195096,0.138502,328832,67209137
104.156.92.30,20224,167.235.145.223,443,2,120,3445,1,66,1,54,71.788088,9.00E-06,,
104.156.92.32,43666,167.235.145.223,443,138,1269477,2015,66,5891,72,1263586,20.188951,60.064206,784,168298
104.156.92.32,55570,167.235.145.223,443,3,255,2014,2,201,1,54,20.188911,4.00E-05,,
104.156.92.35,28780,167.235.145.223,443,148,1094845,3247,68,6023,80,1088822,62.196646,0.181346,265702,48032909
104.156.92.36,17202,167.235.145.223,443,194,2613007,2883,101,9294,93,2603713,44.218793,12.013429,6189,1733868
